er:-0.00159+0.00159i -0.00316+0.00316i 
tol:0.00299+-0.00721i 0.0021+-0.00507i 
er:-0.0016+0.0016i -0.00317+0.00317i 
tol:0.00299+-0.00722i 0.0021+-0.00507i 
er:-0.00161+0.00161i -0.00317+0.00317i 
tol:0.003+-0.00724i 0.0021+-0.00508i 
er:-0.00162+0.00162i -0.00317+0.00317i 
tol:0.003+-0.00725i 0.00211+-0.00508i 
er:-0.00162+0.00162i -0.00317+0.00317i 
tol:0.00301+-0.00726i 0.00211+-0.00509i 
er:-0.00163+0.00163i -0.00318+0.00318i 
tol:0.00301+-0.00727i 0.00211+-0.00509i 
er:-0.00164+0.00164i -0.00318+0.00318i 
tol:0.00302+-0.00728i 0.00211+-0.00509i 
er:-0.00165+0.00165i -0.00318+0.00318i 
tol:0.00302+-0.00729i 0.00211+-0.0051i 
er:-0.00166+0.00166i -0.00318+0.00318i 
tol:0.00303+-0.0073i 0.00211+-0.0051i 
er:-0.00166+0.00166i -0.00318+0.00318i 
tol:0.00303+-0.00731i 0.00211+-0.0051i 
er:-0.00167+0.00167i -0.00319+0.00319i 
tol:0.00304+-0.00733i 0.00212+-0.00511i 
er:-0.00168+0.00168i -0.00319+0.00319i 
tol:0.00304+-0.00734i 0.00212+-0.00511i 
er:-0.00169+0.00169i -0.00319+0.00319i 
tol:0.00304+-0.00735i 0.00212+-0.00512i 
er:-0.0017+0.0017i -0.00319+0.00319i 
tol:0.00305+-0.00736i 0.00212+-0.00512i 
er:-0.0017+0.0017i -0.0032+0.0032i 
tol:0.00305+-0.00737i 0.00212+-0.00513i 
er:-0.00171+0.00171i -0.0032+0.0032i 
tol:0.00306+-0.00738i 0.00213+-0.00513i 
er:-0.00172+0.00172i -0.0032+0.0032i 
tol:0.00306+-0.00739i 0.00213+-0.00513i 
er:-0.00173+0.00173i -0.0032+0.0032i 
tol:0.00307+-0.00741i 0.00213+-0.00514i 
er:-0.00174+0.00174i -0.00321+0.00321i 
tol:0.00307+-0.00742i 0.00213+-0.00514i 
er:-0.00175+0.00175i -0.00321+0.00321i 
tol:0.00308+-0.00743i 0.00213+-0.00515i 
er:-0.00175+0.00175i -0.00321+0.00321i 
tol:0.00308+-0.00744i 0.00213+-0.00515i 
er:-0.00176+0.00176i -0.00321+0.00321i 
tol:0.00309+-0.00745i 0.00214+-0.00516i 
er:-0.00177+0.00177i -0.00322+0.00322i 
tol:0.00309+-0.00746i 0.00214+-0.00516i 
er:-0.00178+0.00178i -0.00322+0.00322i 
tol:0.0031+-0.00747i 0.00214+-0.00516i 
er:-0.00179+0.00179i -0.00322+0.00322i 
tol:0.0031+-0.00748i 0.00214+-0.00517i 
er:-0.0018+0.0018i -0.00322+0.00322i 
tol:0.0031+-0.00749i 0.00214+-0.00517i 
er:-0.0018+0.0018i -0.00323+0.00323i 
tol:0.00311+-0.00751i 0.00215+-0.00518i 
er:-0.00181+0.00181i -0.00323+0.00323i 
tol:0.00311+-0.00752i 0.00215+-0.00518i 
er:-0.00182+0.00182i -0.00323+0.00323i 
tol:0.00312+-0.00753i 0.00215+-0.00519i 
er:-0.00183+0.00183i -0.00324+0.00324i 
tol:0.00312+-0.00754i 0.00215+-0.00519i 
er:-0.00184+0.00184i -0.00324+0.00324i 
tol:0.00313+-0.00755i 0.00215+-0.0052i 
er:-0.00185+0.00185i -0.00324+0.00324i 
tol:0.00313+-0.00756i 0.00216+-0.0052i 
er:-0.00186+0.00186i -0.00324+0.00324i 
tol:0.00314+-0.00757i 0.00216+-0.00521i 
er:-0.00186+0.00186i -0.00325+0.00325i 
tol:0.00314+-0.00758i 0.00216+-0.00521i 
er:-0.00187+0.00187i -0.00325+0.00325i 
tol:0.00315+-0.00759i 0.00216+-0.00522i 
er:-0.00188+0.00188i -0.00325+0.00325i 
tol:0.00315+-0.00761i 0.00216+-0.00522i 
er:-0.00189+0.00189i -0.00326+0.00326i 
tol:0.00316+-0.00762i 0.00217+-0.00523i 
er:-0.0019+0.0019i -0.00326+0.00326i 
tol:0.00316+-0.00763i 0.00217+-0.00523i 
er:-0.00191+0.00191i -0.00326+0.00326i 
tol:0.00316+-0.00764i 0.00217+-0.00524i 
er:-0.00192+0.00192i -0.00326+0.00326i 
tol:0.00317+-0.00765i 0.00217+-0.00524i 
er:-0.00193+0.00193i -0.00327+0.00327i 
tol:0.00317+-0.00766i 0.00217+-0.00525i 
er:-0.00193+0.00193i -0.00327+0.00327i 
tol:0.00318+-0.00767i 0.00218+-0.00525i 
er:-0.00194+0.00194i -0.00327+0.00327i 
tol:0.00318+-0.00768i 0.00218+-0.00526i 
er:-0.00195+0.00195i -0.00328+0.00328i 
tol:0.00319+-0.00769i 0.00218+-0.00526i 
